Name of settlement,Symbol of a settlement,BJ,Voters,Insulations,Kosher,Truth,third,And the same,G,pure,Zets,Tab,To,Yaz,Will,Jack,about,To,forgave,Meretz,Naz,Ni,Hawk,P.,Here,Twisted,And run,CAN,end,only,Shot
Avigdor,819,569,475,0,475,254,0,0,0,0,0,19,0,0,0,0,28,3,45,34,0,0,0,0,80,0,0,5,0,0,7
Avihail,175,949,735,3,732,380,1,1,0,0,1,24,0,0,0,0,36,2,77,71,0,0,0,0,128,0,0,5,1,2,3
Avital,2052,379,290,2,288,16,0,0,0,0,0,23,0,0,0,0,29,1,176,1,0,0,0,0,5,0,0,2,19,0,16
Aviezer,1070,495,406,0,406,81,4,3,0,0,0,46,0,0,0,0,28,13,130,25,0,0,0,0,52,0,0,2,10,1,11
Knights,1220,160,123,1,122,48,0,3,0,0,0,0,0,0,0,0,6,1,9,34,0,0,0,0,12,0,0,4,1,0,4
Even Yehuda,182,9206,7285,36,7249,2739,37,9,0,1,3,304,0,0,0,0,629,66,1376,482,3,1,1,2,1340,2,4,80,53,5,112
Stone Menachem,1081,266,199,1,198,28,2,0,0,0,0,6,0,0,0,0,12,3,92,0,0,0,0,0,19,0,0,4,1,0,31
Sapphire stone,783,504,379,0,379,71,1,0,0,0,0,15,0,0,0,0,47,14,172,15,1,0,0,0,17,0,0,10,2,1,13
Stone Shmuel,400,586,522,3,519,7,6,0,0,0,0,232,0,0,0,0,15,0,116,1,1,0,0,0,2,0,0,2,118,0,19
Eitan stones,4011,366,285,0,285,2,1,0,0,0,0,153,0,0,0,0,10,0,54,2,1,0,1,0,4,0,0,8,49,0,0
Object stones,3793,854,735,2,733,2,0,0,0,0,0,389,0,0,0,0,14,4,147,1,0,0,0,0,0,0,1,2,141,0,32
Avshalom,1311,205,142,4,138,20,2,0,1,0,0,6,0,0,0,0,16,44,29,2,0,0,0,0,9,0,0,8,0,1,0
Adora,3759,220,176,0,176,24,0,0,0,0,0,57,0,0,0,0,19,3,39,1,0,0,0,0,10,0,0,4,18,0,1
Almighty,113,209,163,3,160,2,4,0,0,0,0,22,0,0,0,0,7,1,56,0,0,0,0,0,4,0,0,1,4,0,59
Adami,1068,292,160,0,160,42,0,12,0,0,0,2,0,0,0,0,13,8,11,45,0,0,0,1,10,1,0,13,0,2,0
cloak,1123,498,383,2,381,12,1,1,0,0,0,78,0,0,0,0,21,10,193,9,3,0,0,0,15,0,0,3,9,0,26
Udim,446,714,590,2,588,284,1,0,0,0,0,18,0,0,0,0,28,6,67,64,0,0,0,0,106,0,1,8,1,0,4
redness,4010,102,80,0,80,29,0,0,0,0,0,8,0,0,0,0,8,1,8,5,0,0,0,0,16,0,0,5,0,0,0
Ohad,1046,243,187,1,186,61,0,2,0,0,0,10,0,0,0,0,13,3,59,6,0,0,0,0,21,0,0,2,4,0,5
Umm al-Fahm,2710,30363,20471,150,20321,69,11,19709,3,1,3,5,2,1,0,12,12,6,21,386,2,1,5,38,17,2,3,4,2,2,4
Umm al-Qutuf,2024,626,520,1,519,5,0,477,0,0,0,0,0,0,0,2,0,0,1,27,0,0,0,1,1,0,0,0,0,0,5
Om Batin,1358,1231,595,6,589,32,0,473,0,2,0,0,0,0,0,0,30,1,5,4,0,0,3,23,4,0,3,0,2,4,3
an artist,1108,299,177,0,177,21,1,0,0,0,0,11,0,1,0,0,14,24,85,1,0,0,0,0,7,0,0,4,0,0,8
Courage,680,457,351,0,351,188,1,0,0,0,0,13,0,0,0,0,15,2,36,21,0,0,0,0,69,0,0,4,1,0,1
Horizons,31,18915,12637,184,12453,650,1808,9,1,3,2,730,3,0,0,0,625,1258,3752,66,5,0,4,7,378,8,4,116,569,5,2450
Tales of the Hasidim,1294,164,125,0,125,0,73,0,0,0,0,6,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,8,0,33
Light candle,67,570,444,1,443,301,0,0,0,0,0,7,0,0,0,0,19,1,19,46,0,0,0,0,43,0,0,5,1,0,1
Or Yehuda,2400,26366,18785,265,18520,2250,304,10,2,2,9,841,0,2,0,4,2084,622,7509,255,4,4,5,1,1370,3,4,144,401,8,2682
Or Akiva,1020,14611,9361,86,9275,577,122,20,1,0,0,473,1,0,0,0,1209,1014,4218,65,2,1,1,0,426,0,5,90,130,7,913
light,780,799,614,8,606,131,2,0,0,0,0,42,0,0,0,0,69,8,197,23,0,0,0,0,63,0,0,15,25,0,31
Lights,2012,421,321,1,320,180,0,0,0,0,0,7,0,0,0,0,24,3,39,29,0,0,0,0,29,0,0,7,0,1,1
Ortal,4013,224,163,1,162,56,0,0,0,0,0,10,0,0,0,0,13,4,17,4,0,0,0,0,45,0,0,10,0,0,3
Orients,403,424,260,4,256,156,0,1,0,0,0,8,0,0,0,0,19,7,9,38,0,0,0,0,10,0,0,6,2,0,0
Oranit,3760,5690,4660,9,4651,1003,35,0,0,0,0,678,0,0,0,0,338,75,1214,119,1,0,1,1,1004,0,4,72,57,6,43
bruit,278,343,248,0,248,171,0,1,0,0,0,5,0,0,0,0,14,3,15,17,0,0,0,0,19,0,0,3,0,0,0
Area,565,9238,6523,57,6466,1407,66,2,0,0,1,364,2,0,0,0,716,254,1994,140,1,0,1,0,794,1,8,79,114,5,517
A brotherhood,1157,179,145,0,145,62,3,0,0,0,0,6,0,0,0,0,12,3,16,6,0,0,0,0,34,0,0,0,1,0,2
Their percentage,821,368,270,1,269,6,0,0,0,0,0,20,0,0,0,0,24,2,153,0,0,0,0,0,3,0,0,2,31,0,28
Barak estate,1330,1482,1167,3,1164,324,2,1,0,1,0,72,0,0,0,0,120,41,358,36,0,0,0,0,185,0,1,8,2,2,11
Ahihud,785,553,449,3,446,7,9,0,0,0,0,66,0,0,0,0,23,3,257,2,0,0,0,0,11,0,0,3,34,0,31
Ahitov,850,674,545,0,545,147,2,0,0,0,0,35,0,0,0,0,84,4,147,12,1,0,0,0,89,0,0,8,3,1,12
Brothers,804,843,673,5,668,26,14,0,0,0,0,16,0,0,0,0,104,1,319,1,0,0,0,0,13,0,2,1,14,0,157
Ahomer,797,1021,857,9,848,3,25,0,0,0,0,135,0,0,0,0,45,2,259,2,0,0,0,0,5,0,1,5,52,0,314
Atrash (Tribe),965,1650,457,7,450,14,1,251,1,2,1,1,0,0,0,8,60,2,2,7,0,2,1,15,1,0,1,0,3,1,76
Eyes,338,196,77,2,75,4,1,1,0,0,0,3,0,0,0,0,1,3,49,1,0,0,0,0,2,0,0,2,4,1,3
Eyal,716,364,298,2,296,205,0,0,0,0,0,8,0,0,0,0,7,1,14,26,0,0,0,0,27,0,0,6,1,0,1
Ayelet Hashahar,77,999,728,10,718,345,4,1,0,3,0,16,1,0,0,0,44,12,157,57,2,2,0,1,52,2,0,15,0,2,2
Eylon,294,755,590,1,589,216,0,3,0,0,1,19,0,0,0,0,37,8,73,168,1,0,0,0,51,0,0,8,0,0,4
Eilot,1126,266,166,1,165,99,0,2,0,0,0,6,0,0,0,0,4,3,14,11,0,0,0,0,22,0,0,3,0,0,1
Ilania,49,425,301,3,298,89,0,0,0,0,0,24,0,0,0,0,23,4,105,10,0,0,0,0,30,0,0,10,2,0,1
Eilat,2600,47042,23064,235,22829,3881,55,213,3,4,10,1452,7,3,0,1,2572,1276,8039,467,2,5,4,7,2471,5,17,787,498,25,1025
Itamar,3762,485,398,0,398,2,13,0,0,0,0,178,0,0,0,0,0,1,35,0,0,0,0,0,0,0,0,3,162,0,4
Strong,37,310,255,1,254,1,5,0,0,0,0,10,0,0,0,0,21,0,94,0,0,0,0,0,3,0,0,3,101,0,16
Alkal,478,8279,5491,38,5453,34,3,5184,0,1,0,3,0,2,0,1,4,1,58,60,2,1,2,28,4,0,3,1,0,1,60
Al Side,1359,369,167,0,167,23,0,110,0,0,0,1,0,0,0,7,10,0,0,2,0,0,0,2,3,0,0,0,0,0,9
Al-Arian,1316,110,77,1,76,5,0,46,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1,0,0
Al-Rom,4003,296,207,2,205,103,0,0,0,0,0,6,0,0,0,0,12,3,14,28,0,0,0,0,24,0,0,14,1,0,0
beam,1145,305,270,0,270,0,80,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,17,0,163
Alumot,330,258,177,0,177,105,1,0,0,0,0,2,0,0,0,0,11,0,9,21,0,0,0,0,26,0,0,2,0,0,0
Alon Galilee,1182,702,553,0,553,339,0,0,0,0,0,10,0,0,0,0,17,3,25,103,0,0,0,0,53,0,0,3,0,0,0
Alon Teacher,3579,904,751,0,751,2,3,1,0,0,0,429,0,0,0,0,4,1,79,0,0,0,0,0,4,0,0,4,219,0,5
Alon Shvut,3604,2009,1663,4,1659,21,10,1,0,0,0,1069,0,0,0,0,25,3,398,6,4,0,0,0,14,0,1,2,102,0,3
Aloni Daddy,429,611,502,0,502,274,1,0,0,0,0,11,1,0,0,0,19,1,35,68,0,0,0,0,86,0,0,2,1,0,3
Aloni Bashan,4017,184,156,0,156,1,0,0,0,0,0,88,0,0,0,0,7,0,44,0,0,0,0,0,2,0,0,0,14,0,0
Aloni Isaac,868,119,27,0,27,8,0,0,0,0,0,0,0,0,0,0,5,1,6,3,0,0,0,0,4,0,0,0,0,0,0
Alonim,285,517,408,5,403,260,0,0,0,0,0,7,0,0,0,0,23,3,17,30,0,0,0,0,55,1,0,7,0,0,0
Eli-Up,4002,260,181,0,181,60,0,1,0,0,0,24,0,0,0,0,17,7,11,7,0,0,0,0,31,0,0,19,3,0,1
Elichin,41,2459,1955,17,1938,286,43,1,0,0,0,212,0,0,0,0,314,10,661,20,0,0,0,0,94,1,2,21,62,1,210
Eliflet,730,402,293,0,293,20,7,0,0,0,0,21,0,0,0,0,42,1,176,1,0,0,0,0,1,0,1,1,4,1,17
Elyaks,682,563,432,1,431,23,15,0,0,0,0,58,0,0,0,0,38,3,196,5,0,0,0,0,13,0,1,5,17,1,56
Elyashiv,204,467,388,1,387,56,0,0,0,0,0,36,0,0,0,0,72,4,157,9,0,1,0,0,18,0,0,6,5,0,23
Elishama,841,789,626,8,618,119,2,0,0,0,0,30,0,0,0,0,137,3,203,9,0,0,0,0,40,0,0,6,8,0,61
Almagor,1125,240,197,0,197,126,0,1,0,0,0,6,0,0,0,0,6,2,5,22,0,0,0,0,27,0,0,1,0,1,0
coral,3556,145,105,1,104,53,0,0,0,0,0,5,0,0,0,1,9,0,13,6,0,0,0,0,16,0,0,1,0,0,0
Elad,1309,17047,15105,228,14877,30,5000,1,0,0,0,754,1,0,0,0,69,13,663,2,6,0,2,0,12,0,10,25,2094,2,6193
Elazar,3618,1309,1108,1,1107,11,3,0,0,0,0,688,0,0,0,0,16,3,291,4,2,0,1,0,13,0,0,6,60,0,9
Thousands of Menashe,3750,5366,4249,12,4237,879,39,2,1,0,0,404,0,0,0,0,393,105,1286,78,1,0,1,0,866,1,1,75,53,2,50
Alkosh,603,265,174,3,171,23,0,2,0,0,0,6,0,0,0,0,34,0,63,1,0,0,0,0,7,0,0,3,3,0,29
Elkana,3560,2455,2100,6,2094,22,11,0,0,0,0,1459,0,0,0,0,25,6,362,3,1,0,1,0,25,0,0,11,151,0,17
allegiance,772,651,476,4,472,111,1,1,0,0,0,24,0,0,0,0,50,6,152,6,0,0,0,0,71,0,1,6,13,0,30
Amirim,1064,509,384,2,382,164,3,3,0,0,0,31,0,0,0,0,24,2,20,62,1,0,0,0,46,0,0,14,8,2,2
tilapia,1253,242,168,1,167,36,0,0,0,0,0,12,0,0,0,0,38,4,50,6,0,0,0,0,9,0,1,3,2,0,6
Amazing,23,319,254,0,254,20,0,0,0,0,0,144,0,0,0,0,18,0,36,0,0,0,0,0,7,0,0,2,27,0,0
Aniam,4012,393,282,3,279,81,2,0,0,0,1,19,0,0,0,0,34,3,42,17,0,0,0,0,61,0,0,17,0,0,2
Assad (Tribe),960,420,67,1,66,1,0,53,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,3,2,1,0,0,0,0,0
Asper,3754,248,187,2,185,0,69,0,0,0,0,52,0,0,0,0,0,2,6,0,1,0,0,0,0,0,0,0,40,0,15
Iblin,529,8040,4910,39,4871,436,5,3829,2,1,1,3,0,0,0,12,59,76,78,231,0,0,3,30,24,3,4,7,1,3,63
I'll do (Tribe),963,4129,1331,25,1306,80,4,1055,0,1,2,1,3,0,0,2,9,3,10,9,1,0,6,17,1,1,3,4,3,6,85
channel,4301,312,217,1,216,84,0,1,0,0,0,15,0,0,0,0,16,4,19,21,0,0,1,0,36,0,0,17,2,0,0
Afikes,176,1048,729,7,722,508,2,1,0,0,2,21,0,0,0,0,17,8,18,71,1,0,0,0,57,0,0,11,3,1,1
Afek,313,413,305,0,305,208,0,1,0,0,0,8,0,0,0,0,9,2,13,23,0,0,0,0,34,0,0,4,0,1,2
Efrat,3650,5868,4583,14,4569,81,26,1,0,0,0,2501,0,0,0,0,107,30,1394,24,11,1,3,0,71,0,1,41,244,1,32
Arbel,701,417,317,3,314,97,0,0,0,0,0,23,0,0,0,0,25,6,101,16,0,0,0,0,33,0,0,3,7,0,3
purple,3598,130,88,1,87,13,0,1,0,0,0,12,0,0,0,0,7,3,34,1,0,0,0,0,9,0,1,2,2,0,2
cedar,714,399,305,3,302,193,0,0,0,0,0,7,0,0,0,0,21,1,14,37,0,0,0,0,21,0,0,6,0,2,0
Ariel,3570,14190,9876,159,9717,432,31,6,2,0,2,1303,3,0,0,0,605,1550,4486,58,6,0,1,0,556,3,6,223,350,9,85
spadix,71,309,227,2,225,32,0,0,0,0,0,14,0,0,0,0,18,4,100,1,0,0,0,0,15,0,0,2,19,0,20
Ashdod,70,170193,115145,1942,113203,9694,11132,33,7,4,15,5486,43,6,0,10,8616,15127,35653,854,27,26,14,10,8841,26,74,1322,4180,80,11923
Ashdi Yaakov (mast,199,607,449,1,448,261,0,1,0,0,0,20,0,0,0,0,23,6,44,29,0,0,0,0,58,0,0,5,0,0,1
Ashdot Yaakov (Mid,188,424,296,0,296,175,1,0,0,0,0,9,0,0,0,0,19,9,30,14,0,0,0,0,34,0,0,1,3,0,1
buckthorn,1188,488,382,2,380,99,1,0,0,0,0,96,0,0,0,0,29,6,51,29,1,0,0,0,60,0,0,5,2,0,1
Clusters,3722,212,166,1,165,24,1,0,0,0,0,25,0,0,0,0,14,3,54,1,0,0,0,0,34,0,0,2,5,2,0
Eshel President,2021,93,59,0,59,25,0,2,0,0,0,6,0,0,0,0,9,1,7,3,0,0,0,0,4,0,0,0,1,0,1
Ashalim,1152,303,227,0,227,76,0,0,0,0,0,10,0,0,0,0,28,15,42,14,1,1,0,0,33,0,0,5,1,0,1
Ashkelon,7100,102360,65261,937,64324,6263,645,53,15,3,13,3694,10,4,0,2,5390,9681,25655,566,14,14,22,12,4243,21,46,765,2907,69,4217
Visa,1256,361,287,0,287,41,4,0,0,0,0,28,0,0,0,0,45,12,112,8,1,0,0,0,23,0,0,5,8,0,0
Eshtaol,740,680,550,2,548,68,21,1,0,0,0,40,0,0,0,0,52,4,205,20,0,0,0,0,29,0,1,2,29,0,76
Baka al-Garbia,6000,16410,10094,72,10022,259,4,9428,1,0,4,1,0,0,0,2,0,2,11,249,0,1,2,32,5,1,4,2,5,0,9
Beer Ora,21,271,228,2,226,89,0,2,0,0,0,8,0,0,0,0,26,6,46,8,0,0,0,0,35,0,1,5,0,0,0
Beer Gardens,1376,119,101,0,101,1,0,0,0,0,0,35,0,0,0,0,8,0,39,1,0,0,0,0,0,0,0,0,14,0,3
Beer Tuvia,155,661,541,0,541,326,1,2,0,0,0,10,0,0,0,0,22,5,34,41,0,0,0,0,92,0,0,7,1,0,0
Be'er Ya'akov,2530,10833,8518,78,8440,1754,97,12,0,0,2,459,0,1,0,1,1044,170,2676,141,3,0,0,0,1238,1,2,90,142,7,600
Beer Sheva,9000,156696,98505,1352,97153,11887,676,531,12,5,18,6782,15,9,0,35,8548,11721,36614,1357,45,20,23,25,7364,30,87,1179,3898,94,6178
Wells Isaac,450,408,280,2,278,29,0,0,0,0,0,138,0,1,0,0,23,1,36,8,2,0,0,0,23,0,0,6,9,0,2
Wells,697,654,538,2,536,217,0,0,0,0,0,21,0,0,0,0,54,6,62,40,0,0,0,0,113,0,2,12,5,2,2
Barry,399,804,669,2,667,443,1,0,0,0,0,14,0,0,0,0,13,5,18,109,0,0,0,0,50,0,0,13,0,1,0
Bustan Hagalil,559,518,403,1,402,150,1,0,0,0,0,26,0,0,0,0,34,10,80,24,0,0,0,0,58,0,1,5,1,1,11
Bueina-Nujeidat,482,5550,3650,43,3607,112,2,3038,0,1,1,5,0,2,0,223,49,3,10,82,0,0,1,20,1,0,2,2,5,1,47
Bukaa,4001,363,17,0,17,4,0,1,0,0,0,0,0,0,0,0,3,0,5,1,0,0,0,0,1,0,0,1,0,0,1
Borga,698,777,628,4,624,278,0,0,1,0,0,19,0,0,0,0,54,9,93,42,0,0,0,0,103,0,1,16,2,0,6
test,2043,520,418,0,418,242,0,2,0,0,1,12,0,0,0,0,22,5,36,28,0,0,0,0,62,0,0,8,0,0,0
trustfulness,762,536,438,1,437,21,13,0,0,0,0,48,0,0,0,0,31,1,237,1,0,0,1,0,9,0,1,1,25,0,48
In the batch,234,811,670,4,666,383,3,0,0,0,1,20,0,0,0,0,30,4,71,42,0,0,0,0,102,0,0,7,3,0,0
Bir al-Maksur,998,5562,2717,45,2672,226,1,1733,0,1,1,27,0,0,0,0,18,1,6,35,0,0,2,47,397,2,2,2,3,1,167
Bir Dag,1348,583,406,7,399,1,0,389,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,4,0,1,0,0,1,0,0
Birya,368,583,434,4,430,38,7,0,0,0,0,32,0,0,0,0,59,4,163,1,0,0,0,0,15,0,1,8,50,1,51
Beit Oren,317,280,193,0,193,89,1,1,0,0,0,11,0,0,0,0,11,5,16,27,0,0,0,0,28,0,0,4,0,0,0
Bethel,3574,3210,2730,4,2726,5,19,0,0,0,0,1604,0,0,0,0,10,2,308,0,3,0,3,0,2,1,1,24,724,0,20
Beit Elazari,562,976,800,2,798,277,2,2,0,0,0,39,0,0,0,0,92,12,176,41,0,0,1,0,129,0,1,12,4,1,9
Alpha House,95,672,495,6,489,280,0,3,0,0,0,9,0,0,0,1,20,5,43,76,0,3,0,0,28,1,0,14,2,1,3
Beit Arye,3652,3082,2429,25,2404,261,15,2,0,0,1,520,0,0,0,0,205,48,932,20,2,0,1,0,254,0,1,42,52,1,47
garden House,480,7819,4182,44,4138,1902,0,242,0,0,1,73,0,1,0,0,406,727,207,242,0,0,0,8,125,0,2,15,85,3,99
Beit Guvrin,619,276,220,0,220,131,0,1,0,0,0,6,0,0,0,0,3,2,6,29,0,0,0,0,34,0,0,7,0,0,1
Beit Gamliel,571,680,563,2,561,15,10,0,0,0,0,278,0,0,0,0,32,1,130,4,1,0,0,0,22,0,0,6,53,1,8
Beit Dagan,466,4833,3774,17,3757,591,52,3,0,0,0,310,2,0,0,0,453,69,1441,50,0,0,1,0,417,0,5,44,113,2,204
The Gadi House,723,468,397,5,392,7,3,0,0,0,0,32,0,0,0,0,15,1,223,0,0,0,1,0,4,0,1,4,97,0,4
House of Halevi,373,513,420,1,419,221,0,1,0,0,0,8,0,0,0,0,23,2,40,41,0,0,0,0,66,0,0,11,3,2,1
Beit Hillel,322,526,391,0,391,216,0,0,0,0,0,6,0,0,0,0,27,5,24,33,0,0,0,0,69,0,0,6,3,0,2
The Valley House,572,474,339,2,337,196,1,1,0,0,0,6,0,0,0,0,6,18,16,50,0,0,0,1,36,0,0,6,0,0,0
The Arava House,3645,62,53,2,51,13,0,0,0,0,0,8,0,0,0,0,6,4,12,1,0,0,0,0,2,0,0,4,0,0,1
House of the method,242,1006,750,6,744,483,1,1,0,0,0,30,0,0,0,0,28,6,44,46,0,1,0,0,81,0,1,13,6,2,1
Zid,353,108,68,0,68,41,0,0,0,0,0,0,0,0,0,0,4,0,5,8,0,0,0,0,8,1,0,0,0,0,1
Olive House,710,1054,805,3,802,316,4,5,0,0,0,49,1,0,0,0,54,8,118,111,1,0,0,1,109,0,2,10,5,0,8
House of seed,143,576,402,0,402,200,0,1,0,0,0,7,0,0,0,0,17,4,12,126,0,0,0,0,28,0,0,4,2,1,0
Beit Horon,3575,706,606,0,606,12,13,0,0,0,0,281,0,0,0,0,31,3,184,5,1,0,0,0,10,0,0,7,51,0,8
Liberty,877,561,453,1,452,283,0,0,0,0,0,4,0,1,0,0,23,4,10,58,0,0,0,0,61,0,0,5,1,1,1
The House of India,2033,391,330,2,328,1,292,0,0,0,0,5,0,0,0,0,1,0,5,0,2,0,0,0,1,0,0,0,11,0,10
Beit Hanan,159,586,476,0,476,243,0,1,0,0,0,12,0,0,0,0,30,5,52,28,0,0,0,0,95,0,0,9,0,0,1
Hanania House,800,554,458,1,457,204,0,1,0,0,0,14,0,0,0,0,37,4,49,29,1,0,0,1,110,0,0,6,0,0,1
Hasmonean House,1050,1365,1087,4,1083,346,1,0,0,0,0,59,0,0,0,0,110,12,300,41,2,0,0,0,178,0,1,10,4,0,19
Beit Yehoshua,288,661,530,1,529,261,3,1,0,0,0,14,0,0,0,0,27,3,59,56,2,0,0,0,93,0,0,2,7,0,1
Beit Yosef,265,323,195,4,191,17,1,0,0,0,0,14,0,0,0,0,25,1,89,1,0,0,0,0,4,0,1,0,5,0,33
Beit Yanai,200,321,222,0,222,136,0,1,0,0,0,6,0,0,0,0,11,1,8,31,0,0,0,0,27,0,0,1,0,0,0
Beit Yitzhak-Gate Hefer,326,1617,1303,4,1299,730,5,1,0,0,0,30,0,0,0,0,64,12,119,110,0,1,0,0,211,0,1,9,4,1,1
Bethlehem of Galilee,430,560,443,4,439,217,3,1,0,0,0,16,0,0,0,0,15,5,52,57,1,0,0,0,61,0,0,8,2,1,0
Meir House,751,355,285,2,283,4,21,0,0,0,0,77,0,0,0,0,12,1,91,0,3,0,0,0,9,0,0,3,39,1,22
Beit Nehemia,784,611,477,2,475,123,4,1,0,0,1,23,0,0,0,0,77,3,116,33,0,0,0,0,77,0,0,9,4,1,3
Nir House,16,377,305,0,305,148,0,0,0,0,0,7,0,0,0,0,2,1,7,106,0,0,0,0,31,0,0,2,0,1,0
House naked,672,406,315,1,314,91,2,1,0,0,0,12,0,0,0,0,24,9,94,19,0,0,0,0,42,0,1,5,6,0,8
Home works,202,267,225,0,225,135,0,0,0,0,0,3,0,0,0,0,10,2,17,23,0,0,0,0,26,0,0,7,1,1,0
Home Uziel,301,434,334,1,333,51,0,1,0,0,0,31,0,0,0,0,59,6,123,5,0,0,0,0,23,0,0,3,15,0,16
Beit Ezra,756,792,634,6,628,181,1,0,0,0,0,47,0,0,0,0,85,10,169,10,0,0,0,0,63,0,1,8,18,1,34
House of Arif,604,672,551,3,548,54,8,0,0,0,1,36,0,1,0,0,97,5,237,10,1,0,0,0,38,0,0,10,15,1,34
Home Get up,598,565,471,1,470,194,1,1,0,0,0,11,0,0,0,0,25,6,42,105,1,0,0,0,78,0,0,3,2,0,1
Bow House,365,402,293,3,290,175,0,2,0,0,0,12,0,0,0,0,16,1,4,54,0,0,0,0,19,0,0,6,0,1,0
Raban House,848,302,251,0,251,3,1,0,0,0,0,128,0,0,0,0,8,0,42,0,0,0,0,0,2,0,0,0,57,0,10
A grenade house,1162,283,241,0,241,18,0,0,0,0,0,153,0,0,0,0,5,0,36,5,0,0,0,0,9,0,0,0,14,0,1
Beit Shean,9200,13392,9408,97,9311,467,88,31,1,0,6,595,1,0,0,0,666,236,4742,27,3,0,3,3,287,2,11,69,322,6,1745
Beit Shemesh,2610,50926,34382,504,33878,1111,9589,8,1,1,1,3053,0,0,0,0,1187,1321,9051,162,34,3,4,1,881,2,10,169,2421,8,4860
Home Gates,248,470,408,0,408,201,0,0,0,0,0,26,0,0,0,0,15,5,48,25,0,0,0,0,86,0,0,1,0,1,0
House Shikma,747,526,350,5,345,17,6,0,0,0,0,17,0,0,0,0,97,6,148,2,0,0,0,0,10,0,1,2,21,0,18
Aharon Pavilion,252,137,93,1,92,46,1,0,0,0,0,0,0,0,0,0,8,1,7,7,0,0,0,0,21,0,0,1,0,0,0
Beitar Illit,3780,19103,16125,149,15976,22,9347,0,1,0,0,101,1,0,0,0,27,26,234,9,6,0,5,1,8,0,7,27,2249,1,3904
Balfaia,94,340,272,1,271,102,1,0,0,0,0,23,0,0,0,0,20,8,41,20,0,0,0,0,41,0,0,6,7,0,2
Ben Zakai,760,564,456,1,455,10,1,1,0,0,0,34,0,0,0,0,53,5,220,2,0,0,0,0,8,0,0,1,95,0,25
Ben-Ami,712,534,431,1,430,164,6,1,0,0,1,19,0,0,0,0,24,11,94,35,0,0,0,0,62,0,0,7,1,0,5
Ben Shemen (Youth Village),1084,237,167,0,167,66,0,0,0,0,0,0,0,0,0,0,41,1,15,15,0,0,0,0,26,0,0,0,0,0,3
Ben Shemen (seat),2013,569,460,1,459,179,1,1,1,0,0,16,0,0,0,0,45,4,91,42,0,0,0,0,68,0,0,5,3,0,3
Bnei Brak,6100,101291,81065,2444,78621,1004,46661,13,2,3,9,1848,4,3,0,1,902,533,3591,158,30,1,8,4,508,4,36,129,4323,3,18843
Palms,1368,225,203,2,201,1,0,0,0,1,0,143,0,0,0,0,0,0,10,1,0,0,1,0,0,0,0,0,44,0,0
Southern,592,356,309,1,308,19,0,0,0,0,0,184,0,0,0,0,8,0,68,2,0,0,1,0,11,0,0,4,11,0,0
Benny Dror,386,1034,746,5,741,374,0,2,0,0,0,24,0,0,0,0,35,8,132,43,0,0,0,0,109,0,1,11,1,0,1
